Report generated on: 09-09-2022 23:11:57
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"INTL.116-12-WORL-BKWH.A","                    Solar (billion kWh)","0","0","0","0.00005","0.006297924","0.011680157","0.016131952","0.01159706","0.01119415","0.299527819","0.440390766","0.534170367","0.519460068","0.602892992","0.650746784","0.697649548","0.764220164","0.815669588","0.896526017","0.997710284","1.209574963","1.507008144","1.884477027","2.350108893","3.000424852","4.179181035","5.712670656","7.718275556","12.659460008","21.026597226","33.594102327","66.342884071","103.938313546","146.50053269760613","201.45510527408814","259.6320452679777","340.62239080692837","457.31275903380083","568.5093672796486","689.3216799577891","829.3303898645784","NA"
"INTL.37-12-WORL-BKWH.A","                Wind (billion kWh)","0.011","0.011","0.019","0.032667962","0.044490252","0.063761883","0.14018872","0.198541414","0.338871014","2.633943","3.6036","4.096951","4.612057","5.557926","7.284414","7.935523","9.288892","12.13404262","16.107491","21.276463","31.33167286","38.365161773","52.733140927","64.502858636","84.6313862185","104.241386061","133.4217967968","171.304534837","221.3660176971575","277.7703686571698","339.4084279482557","435.1092930113788","521.6558324462056","645.0493102236803","717.1051706526728","827.2212231201157","957.0966808095809","1127.0746114034623","1264.329581287382","1398.506570518277","1584.3574544320059","NA"
"INTL.38-12-WORL-BKWH.A","                Biomass and waste (billion kWh)","17.72589728761204","17.88891366461204","27.19215320061204","28.18085695861204","31.16580185661204","31.65251026061204","34.25922428661204","38.15101309961204","40.37793142461204","81.6833161887589","93.86284325843359","102.73457853218397","113.26336676294322","116.71743025306253","123.03698691707223","131.4874694411972","133.7682623620933","143.89642711843942","149.04908067037817","156.3691358938987","158.66332123390603","166.78997797673196","180.86745465869984","190.2599344641447","203.77622653007816","218.7141040621842","231.33526380434333","248.07977729815508","276.7962018279173","299.6884937779654","347.8015660834711","371.51744310791366","395.7800832822558","434.3887774989817","468.63339183187674","496.248075969247","535.2562331791617","567.2202419440339","598.0704085043883","630.8103501115646","620.7587118027213","NA"
"INTL.82-12-WORL-BKWH.A","        Hydroelectric pumped storage (billion kWh)","-9.779","-10.893","-8.51","-9.733","-11.263537","-12.680898","-13.908342","-15.607516","-16.274521","-14.423288","-19.939572","-19.067022","-17.931618","-19.947372","-19.460736","-21.570477","-23.221458","-25.913323","-24.971696","-26.291231","-27.5102189","-29.42584023","-32.101211724","-29.828868864","-28.97687358","-29.27987673","-28.10304728","-28.52878174","-25.6968695","-23.254358617","-28.196739001","-28.50674801","-27.5467425","-27.891062","-30.410132","-29.618010259","-37.078621","-39.506978","-37.4894115","-36.962562","-37.67786581","NA"
"INTL.2-2-WORL-BKWH.A","    Consumption (billion kWh)","7323.372305717931","7410.42911814836","7569.413688417245","7872.425977482276","8361.737719825596","8662.099348173328","8888.361762504255","9278.659621343695","9699.463798467037","10131.9368076139","10401.81597289649","10607.67661786688","10673.913201314763","10881.533919042638","11132.100833843515","11506.576040859067","11838.24147235132","12154.359114003111","12449.240873366452","12713.208130951047","13260.593777397116","13517.811217992736","13961.265267263345","14483.117697781292","15150.887542789753","15750.38799636557","16436.573028600684","17215.657740754028","17477.174858536528","17426.030374776477","18695.133564948665","19339.307686510812","19798.308866988707","20476.45509813165","20846.28198935917","21316.54254446559","21962.469150324603","22565.367543033473","23387.21107951112","23773.863519714872","NA","NA"
"INTL.2-3-WORL-BKWH.A","    Imports (billion kWh)","145.5369836319204","166.4995722649243","164.551633863045","194.0380381056035","202.0274323758947","213.4741797915998","216.1455617333313","248.927882414645","258.5563069233551","280.070342024074","292.447890222","260.686141313","400.464478578","403.170039749","398.383992624","397.779651363","427.4371344","420.317857695","420.497345069","450.818407058","502.925536302","499.596619649","533.33883193","554.54977416","554.238822738","614.721595121","619.504763594","633.381635136","621.266521901","592.4459981","592.845397506","653.449629831","684.581945638","685.533265549","717.79555846","756.33267661929","731.54377710466","736.849344046","734.469938045","724.397529494","NA","NA"
"INTL.2-4-WORL-BKWH.A","    Exports (billion kWh)","150.131648","166.209123","164.416463","193.988293","202.071293","216.120917","216.375763221","249.2022405","258.257446451","278.32669034","292.05161392","260.694002018","400.795116786","400.672813762","401.636180282","400.843616693","430.220828565","423.948140419","416.366493501","452.069076027","499.784170702","496.985264222","521.347195653","553.499272682","554.218189754","617.592760486","616.824969125","629.221245817","620.279436251","585.405267083","591.260015456","650.855951387","676.72505891374","666.8894723232","701.52157013409","732.760983599","717.788997849","735.339922318","722.207603882","722.715421172","NA","NA"
"INTL.2-23-WORL-BKWH.A","    Net imports (billion kWh)","-4.594664368079601","0.2904492649243","0.135170863045","0.0497451056035","-0.0438606241053","-2.6467372084002","-0.2302014876687","-0.274358085355","0.2988604723551","1.743651684074","0.396276302","-0.007860705","-0.330638208","2.497225987","-3.252187658","-3.06396533","-2.783694165","-3.630282724","4.130851568","-1.250668969","3.1413656","2.611355427","11.991636277","1.050501478","0.020632984","-2.871165365","2.679794469","4.160389319","0.98708565","7.040731017","1.58538205","2.593678444","7.85688672426","18.6437932258","16.27398832591","23.57169302029","13.75477925566","1.509421728","12.262334163","1.682108322","NA","NA"
"INTL.2-7-WORL-MK.A","    Capacity (million kW)","1979.06858","2067.51758","2142.42058","2212.05938","2308.07038","2393.46382","2465.5352","2536.54092","2605.06339","2686.34491","2736.10962","2772.52722","2830.05467","2898.71729","2968.37108","3022.00188","3099.75778","3165.37118","3218.46488","3290.92788","3465.77898","3569.655065","3712.36343","3857.373905","3983.016785","4108.216254","4305.732223","4474.353762","4641.421041","4839.166506","5077.52988","5305.044443","5524.084348","5756.159575","5964.213152","6213.7538","6553.594807","6820.89879031","7102.4424882","7338.410798","7686.683705280574","NA"
"INTL.27-7-WORL-MK.A","        Nuclear (million kW)","134.95","156.315","170.216","189.807","221.19","252.99","277.877","299.337","311.618","320.147","325.06","324.688","329.3","336.285","339.39","342.494","349.233","349.316","346.219","348.949","351.483","354.507","359.873","361.918","367.758","370.446","371.895","371.844","371.821","372.2837","375.3824","368.8378","372.733","372.0653","333.8703","343.307","352.9158","353.7769","369.1829","369.042","394.9496","NA"
